Date,Creative,"Creative ID","Total Ads Requested"
2024-08-07,C2U40HY-3965360-DLR_FY24_ENG_Q3Q4TicketOffer-Generic-Transact_728x90.zip,4726501,12598
2024-08-07,C2UJDRY-4112389-DLR_FY24_SP_Halloween_ACT_DOM_NOOFF_160x600.zip,4786391,46
2024-08-07,C2UJDRY-4112389-DLR_FY24_SP_Halloween_ACT_DOM_NOOFF_300x250.zip,4786392,4134
2024-08-07,C2UJDRY-4112389-DLR_FY24_SP_Halloween_ACT_DOM_NOOFF_300x600.zip,4786394,39
2024-08-07,C2UJDRY-4112389-DLR_FY24_SP_Halloween_ACT_DOM_NOOFF_320x50.jpg,4778675,713
2024-08-07,C2UJDRY-4112389-DLR_FY24_SP_Halloween_ACT_DOM_NOOFF_728x90.zip,4786390,126
2024-08-07,"C30ZBKN-NA-SPT_FY24_ENG_ESPN Pitch to Pixie Soccer V1_300x250.gif",4802503,13090
2024-08-07,"C30ZBKN-NA-SPT_FY24_ENG_ESPN Pitch to Pixie Soccer V1_320x50.gif",4802504,88743
2024-08-07,"C30ZBKN-NA-SPT_FY24_ENG_ESPN Pitch to Pixie Soccer V1_728x90.gif",4802505,13
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-AR_LATAM-NOOFF_300x250.zip,4780644,6075
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-AR_LATAM-NOOFF_300x600.zip,4780645,13768
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-CH_LATAM-NOOFF_300x250.zip,4780665,2456
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-CH_LATAM-NOOFF_300x600.zip,4780666,341
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-CO_LATAM-NOOFF_300x250.zip,4780673,6997
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-CO_LATAM-NOOFF_300x600.zip,4780674,15264
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-LATAM-NOOFF_300x250.zip,4773579,31918
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-LATAM-NOOFF_300x600.zip,4773580,121590
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-PE_LATAM-NOOFF_300x250.zip,4780677,3519
2024-08-07,C3FAO4U-3817479_DCL_FY24_SPA_COMBO-PE_LATAM-NOOFF_300x600.zip,4780678,5034
2024-08-07,C3IQHPQ-4018710-AUL_FY24_ENG_Evergreen-Activate_160x600.zip,4748856,15723
